1,AAPL,Apple Inc,"3,371.36B",219.86,0.69%,381.62B
2,MSFT,Microsoft Corporation,"3,036.32B",408.49,-2.07%,245.12B
3,NVDA,NVIDIA Corporation,"2,638.84B",107.27,-1.78%,79.77B
4,GOOG,Alphabet Inc.,"2,061.91B",168.4,-2.35%,328.28B
5,GOOGL,Alphabet Inc.,"2,060.32B",166.66,-2.40%,328.28B
6,AMZN,"Amazon.com, Inc.","1,747.27B",167.9,-8.78%,590.74B
7,META,"Meta Platforms, Inc.","1,238.18B",488.14,-1.93%,142.71B
8,AVGO,Broadcom Inc.,669.46B,143.82,-2.18%,42.62B
9,TSLA,"Tesla, Inc.",663.43B,207.67,-4.24%,95.32B
10,COST,Costco Wholesale Corporation,364.46B,822.08,0.64%,253.70B
11,ASML,ASML Holding N.V.,318.42B,809.35,-8.41%,27.36B
12,NFLX,"Netflix, Inc.",263.35B,613.64,-1.79%,36.30B
13,AZN,AstraZeneca PLC,253.66B,81.81,0.75%,49.13B
14,PEP,"PepsiCo, Inc.",244.55B,178.04,1.76%,92.05B
15,ADBE,Adobe Inc.,233.30B,526.17,-3.70%,20.43B
16,TMUS,"T-Mobile US, Inc.",220.24B,188.76,0.90%,79.10B
17,LIN,Linde plc,218.25B,454,0.15%,32.76B
18,AMD,"Advanced Micro Devices, Inc.",214.45B,132.5,-0.03%,23.28B
19,CSCO,"Cisco Systems, Inc.",187.98B,46.66,-1.54%,55.36B
20,AMGN,Amgen Inc.,179.16B,333.99,-0.46%,29.53B
21,QCOM,QUALCOMM Incorporated,177.47B,159.31,-2.86%,37.35B
22,INTU,Intuit Inc.,174.41B,623.92,-2.18%,15.81B
23,TXN,Texas Instruments Incorporated,171.16B,187.46,-3.04%,16.09B
24,PDD,PDD Holdings Inc.,169.28B,127.41,-0.32%,41.22B
25,ISRG,"Intuitive Surgical, Inc.",159.81B,449.73,-0.27%,7.57B
26,CMCSA,Comcast Corporation,154.14B,39.9,-0.89%,121.11B
27,AMAT,"Applied Materials, Inc.",150.53B,181.81,-7.38%,26.50B
28,ARM,Arm Holdings plc,141.05B,113.45,-6.63%,3.23B
29,SNY,Sanofi,132.97B,53.05,2.69%,50.96B
30,HON,Honeywell International Inc.,132.33B,203.69,-0.44%,37.33B
31,VRTX,Vertex Pharmaceuticals Incorporated,127.60B,494.46,-2.24%,10.19B
32,REGN,"Regeneron Pharmaceuticals, Inc.",117.27B,"1,082.19",-1.00%,13.10B
33,BKNG,Booking Holdings Inc.,112.92B,"3,328.13",-9.17%,22.00B
34,ADP,"Automatic Data Processing, Inc.",107.86B,263.52,0.85%,18.91B
35,ADI,"Analog Devices, Inc.",103.19B,207.96,-5.01%,10.46B
36,MU,"Micron Technology, Inc.",102.79B,92.7,-8.68%,21.37B
37,LRCX,Lam Research Corporation,99.76B,763,-8.11%,14.24B
